Semana,Seguidores_PSOE,Seguidos_PSOE,Seguidores_Podemos,Seguidos_Podemos,Seguidores_PP,Seguidos_PP,Seguidores_Vox,Seguidos_Vox
07-01-2019,1231,4,955,-2,1434,0,6001,3
14-01-2019,820,-2,634,2,1072,15,3653,4
21-01-2019,1250,-3,1001,-1,1449,6,2528,0
28-01-2019,799,-3,731,2,796,3,1941,0
04-02-2019,705,2,183,1,825,-3,2332,2
11-02-2019,1815,-1,1159,1,1539,1,3999,4
18-02-2019,1784,1,932,0,1256,-1,3918,2
25-02-2019,1062,-3,676,-1,831,5,2414,5
04-03-2019,1140,-2,867,0,874,-7,3680,3
11-03-2019,1123,-5,889,3,844,7,2544,3
18-03-2019,1088,0,953,1,950,5,2737,9
25-03-2019,1055,-3,1750,1,902,2,3351,-2
01-04-2019,1295,-2,1368,3,1013,3,3265,0
08-04-2019,1951,-2,1879,0,1114,0,3797,3
15-04-2019,2630,-2,3119,2,1771,1,5372,4
22-04-2019,5447,-5,11057,6,3664,-1,12290,9
29-04-2019,5647,0,5086,-1,1886,1,4406,1
06-05-2019,2767,6,1224,15,653,0,1291,-1
14-05-2019,444,3,170,0,166,-1,560,1
20-05-2019,1228,2,651,10,527,3,1450,2
27-05-2019,1136,15,442,0,530,-1,1748,-1
03-06-2019,537,36,572,0,340,2,855,5
10-06-2019,673,-1,408,1,300,-1,817,3
17-06-2019,338,3,-53,1,181,-2,881,2
24-06-2019,560,-6,139,1,182,-4,911,3
01-07-2019,764,4,410,1,365,-2,1024,3
08-07-2019,685,-4,421,0,352,-3,751,16
15-07-2019,626,-4,514,1,327,1,881,3
22-07-2019,1613,0,2073,2,763,-1,3028,3
29-07-2019,472,-3,796,2,411,0,1421,4
05-08-2019,496,-4,688,-2,289,-1,1575,4
12-08-2019,569,-6,600,0,361,3,1345,3
19-08-2019,711,-3,851,1,590,1,1799,4
26-08-2019,719,-5,650,0,495,0,1631,3
02-09-2019,517,2,727,0,436,0,2098,5
09-09-2019,679,-3,759,-1,463,3,1481,8
16-09-2019,930,5,1492,4,899,-2,2096,1
23-09-2019,892,-10,1278,-7,671,-4,2201,2
30-09-2019,579,2,1067,-1,535,-2,1477,-3
07-10-2019,1004,-5,1137,1,803,-2,5199,8
14-10-2019,2567,-8,4114,3,2483,5,9544,5
21-10-2019,1353,-5,1756,0,1293,2,4220,3
28-10-2019,1313,-2,1819,6,1082,10,3889,2
04-11-2019,2588,0,6212,2,2329,35,9321,8
11-11-2019,5340,0,8985,1,4218,-1,14322,8
18-11-2019,1629,-2,2103,0,1255,-3,10336,10
25-11-2019,1180,-7,1164,4,725,-5,2396,3
02-12-2019,655,5,728,4,427,1,1497,1
09-12-2019,611,0,992,1,567,3,1364,2
16-12-2019,558,-1,615,9,507,0,1113,-3
23-12-2019,503,-2,504,0,444,-2,1365,1
30-12-2019,1604,4,1987,1,1481,1,3188,-1
06-01-2020,4053,-3,5324,1,2231,-2,4552,7
13-01-2020,2237,-1,3120,-1,1212,0,2564,0
20-01-2020,2012,-2,2795,3,1589,2,4576,3
27-01-2020,1103,1,1578,1,904,-1,605,5
03-02-2020,1125,5,1445,6,698,1,144,0
10-02-2020,1075,2,1101,2,775,2,244,-2
17-02-2020,711,-3,942,3,585,0,70,-2
24-02-2020,932,-3,1109,0,671,-1,119,-1
02-03-2020,1031,-2,2091,0,678,1,271,0
09-03-2020,3884,2,4431,0,2766,1,2163,1
16-03-2020,3585,-1,3612,4,2777,-1,1148,1
23-03-2020,4158,-9,2567,-1,3460,0,1951,2
30-03-2020,4336,-11,2883,54,3906,-1,1875,0
06-04-2020,4529,-2,3503,-4,3549,2,2315,-8
13-04-2020,4197,0,2925,6,3934,2,1832,24
20-04-2020,3263,-9,2343,0,3509,-2,2092,-2
27-04-2020,2917,-6,2357,1,2817,1,1274,2
04-05-2020,2859,-6,1605,2,2742,-1,1011,1
11-05-2020,2313,-7,1593,6,2567,-1,785,-1
18-05-2020,3064,-2,1452,2,2156,4,1562,3
25-05-2020,1711,-4,1004,-1,1583,1,856,-1
01-06-2020,1783,-7,2180,2,1273,1,3491,5
08-06-2020,661,-5,119,6,250,-1,-102,0
15-06-2020,453,-2,464,-1,138,2,-1,1
22-06-2020,1092,-3,205,4,84,5,536,2
29-06-2020,442,-2,196,-1,232,-231,416,1
06-07-2020,359,-6,184,-2,174,-3,71,3
13-07-2020,233,-1,-46,0,203,0,319,0
20-07-2020,127,-9,9,2,59,10,62,3
27-07-2020,164,-4,56,-5,253,2,626,1
03-08-2020,447,-1,452,-2,426,-5,739,4
10-08-2020,452,-2,782,0,598,1,408,2
